Time,Irradiation,Temperature,Incidence_Angle,Load_Signal
2024-09-19 19:38:24,1000,25,0,0
2024-09-19 19:38:26,1000,25,0,0
2024-09-19 19:38:28,1000,25,0,0
2024-09-19 19:38:30,1000,25,0,0
2024-09-19 19:38:32,1000,25,0,0
2024-09-19 19:38:34,1000,25,0,0
2024-09-19 19:38:36,1000,25,0,0
2024-09-19 19:38:38,1000,25,0,0
2024-09-19 19:38:40,1000,25,0,0
2024-09-19 19:38:42,1000,25,0,0
2024-09-19 19:38:44,1000,25,0,0
2024-09-19 19:38:46,1000,25,0,0
2024-09-19 19:38:48,1000,25,0,0
2024-09-19 19:38:50,1000,25,0,0
2024-09-19 19:38:52,1000,25,0,0
2024-09-19 19:38:54,1000,25,0,0
2024-09-19 19:38:56,1000,25,0,0
2024-09-19 19:38:58,1000,25,0,0
2024-09-19 19:39:00,1000,25,0,0
2024-09-19 19:39:02,1000,25,0,0
2024-09-19 19:39:05,1000,25,0,0
2024-09-19 19:39:07,1000,25,0,0
2024-09-19 19:39:09,1000,25,0,0
2024-09-19 19:39:11,1000,25,0,0
2024-09-19 19:39:13,1000,25,0,0
2024-09-19 19:39:15,1000,25,0,0
2024-09-19 19:39:17,1000,25,0,0
2024-09-19 19:39:19,1000,25,0,0
2024-09-19 19:39:21,1000,25,0,0
2024-09-19 19:39:23,1000,25,0,0
2024-09-19 19:39:25,1000,25,0,0
2024-09-19 19:39:27,1000,25,0,0
2024-09-19 19:39:29,1000,25,0,0
2024-09-19 19:39:31,1000,25,0,0
2024-09-19 19:39:33,1000,25,0,0
2024-09-19 19:39:35,1000,25,0,0
2024-09-19 19:39:37,1000,25,0,0
2024-09-19 19:39:39,1000,25,0,0
2024-09-19 19:39:41,1000,25,0,0
2024-09-19 19:39:43,1000,25,0,0
2024-09-19 19:39:45,1000,25,0,0
2024-09-19 19:39:48,1000,25,0,0
2024-09-19 19:39:50,1000,25,0,0
2024-09-19 19:39:52,1000,25,0,0
2024-09-19 19:39:54,1000,25,0,0
2024-09-19 19:39:56,1000,25,0,0
2024-09-19 19:39:58,1000,25,0,0
2024-09-19 19:40:00,1000,25,0,0
2024-09-19 19:40:02,1000,25,0,0
2024-09-19 19:40:04,1000,25,0,0
2024-09-19 19:40:06,1000,25,0,0
2024-09-19 19:40:08,1000,25,0,0
2024-09-19 19:40:10,1000,25,0,0
2024-09-19 19:40:12,1000,25,0,0
2024-09-19 19:40:14,1000,25,0,0
2024-09-19 19:40:16,1000,25,0,0
2024-09-19 19:40:18,1000,25,0,0
2024-09-19 19:40:20,1000,25,0,0
2024-09-19 19:40:22,1000,25,0,0
2024-09-19 19:40:24,1000,25,0,0
2024-09-19 19:40:26,1000,25,0,0
2024-09-19 19:40:28,1000,25,0,0
2024-09-19 19:40:31,1000,25,0,0
2024-09-19 19:40:33,1000,25,0,0
2024-09-19 19:40:35,1000,25,0,0
2024-09-19 19:40:37,1000,25,0,0
2024-09-19 19:40:39,1000,25,0,0
2024-09-19 19:40:41,1000,25,0,0
2024-09-19 19:40:43,1000,25,0,0
2024-09-19 19:40:45,1000,25,0,0
2024-09-19 19:40:47,1000,25,0,0
2024-09-19 19:40:49,1000,25,0,0
2024-09-19 19:40:51,1000,25,0,0
2024-09-19 19:40:53,1000,25,0,0
2024-09-19 19:40:55,1000,25,0,0
2024-09-19 19:40:57,1000,25,0,0
2024-09-19 19:40:59,1000,25,0,0
2024-09-19 19:41:01,1000,25,0,0
2024-09-19 19:41:03,1000,25,0,0
2024-09-19 19:41:05,1000,25,0,0
2024-09-19 19:41:07,1000,25,0,0
2024-09-19 19:41:09,1000,25,0,0
2024-09-19 19:41:11,1000,25,0,0
2024-09-19 19:41:14,1000,25,0,0
2024-09-19 19:41:16,1000,25,0,0
2024-09-19 19:41:18,1000,25,0,0
2024-09-19 19:41:20,1000,25,0,0
2024-09-19 19:41:22,1000,25,0,0
2024-09-19 19:41:24,1000,25,0,0
2024-09-19 19:41:26,1000,25,0,0
2024-09-19 19:41:28,1000,25,0,0
2024-09-19 19:41:30,1000,25,0,0
2024-09-19 19:41:32,1000,25,0,0
2024-09-19 19:41:34,1000,25,0,0
2024-09-19 19:41:36,1000,25,0,0
2024-09-19 19:41:38,1000,25,0,0
2024-09-19 19:41:40,1000,25,0,0
2024-09-19 19:41:42,1000,25,0,0
2024-09-19 19:41:44,1000,25,0,0
2024-09-19 19:41:46,1000,25,0,0
2024-09-19 19:41:48,1000,25,0,0
2024-09-19 19:41:50,1000,25,0,0
2024-09-19 19:41:52,1000,25,0,0
2024-09-19 19:41:54,1000,25,0,0
2024-09-19 19:41:57,1000,25,0,0
2024-09-19 19:41:59,1000,25,0,0
2024-09-19 19:42:01,1000,25,0,0
2024-09-19 19:42:03,1000,25,0,0
2024-09-19 19:42:05,1000,25,0,0
2024-09-19 19:42:07,1000,25,0,0
2024-09-19 19:42:09,1000,25,0,0
2024-09-19 19:42:11,1000,25,0,0
2024-09-19 19:42:13,1000,25,0,0
2024-09-19 19:42:15,1000,25,0,0
2024-09-19 19:42:17,1000,25,0,0
2024-09-19 19:42:19,1000,25,0,0
2024-09-19 19:42:21,1000,25,0,0
2024-09-19 19:42:23,1000,25,0,0
2024-09-19 19:42:25,1000,25,0,0
2024-09-19 19:42:27,1000,25,0,0
2024-09-19 19:42:29,1000,25,0,0
2024-09-19 19:42:31,1000,25,0,0
2024-09-19 19:42:33,1000,25,0,0
2024-09-19 19:42:35,1000,25,0,0
2024-09-19 19:42:37,1000,25,0,0
2024-09-19 19:42:40,1000,25,0,0
2024-09-19 19:42:42,1000,25,0,0
2024-09-19 19:42:44,1000,25,0,0
2024-09-19 19:42:46,1000,25,0,0
2024-09-19 19:42:48,1000,25,0,0
2024-09-19 19:42:50,1000,25,0,0
2024-09-19 19:42:52,1000,25,0,0
2024-09-19 19:42:54,1000,25,0,0
2024-09-19 19:42:56,1000,25,0,0
2024-09-19 19:42:58,1000,25,0,0
2024-09-19 19:43:00,1000,25,0,0
2024-09-19 19:43:02,1000,25,0,0
2024-09-19 19:43:04,1000,25,0,0
2024-09-19 19:43:06,1000,25,0,0
2024-09-19 19:43:08,1000,25,0,0
2024-09-19 19:43:10,1000,25,0,0
2024-09-19 19:43:12,1000,25,0,0
2024-09-19 19:43:14,1000,25,0,0
2024-09-19 19:43:16,1000,25,0,0
2024-09-19 19:43:18,1000,25,0,0
2024-09-19 19:43:20,1000,25,0,0
2024-09-19 19:43:23,1000,25,0,0
2024-09-19 19:43:25,1000,25,0,0
2024-09-19 19:43:27,1000,25,0,0
2024-09-19 19:43:29,1000,25,0,0
2024-09-19 19:43:31,1000,25,0,0
2024-09-19 19:43:33,1000,25,0,0
2024-09-19 19:43:35,1000,25,0,0
2024-09-19 19:43:37,1000,25,0,0
2024-09-19 19:43:39,1000,25,0,0
2024-09-19 19:43:41,1000,25,0,0
2024-09-19 19:43:43,1000,25,0,0
2024-09-19 19:43:45,1000,25,0,0
2024-09-19 19:43:47,1000,25,0,0
2024-09-19 19:43:49,0,25,90,0
2024-09-19 19:43:51,0,25,90,0
2024-09-19 19:43:53,0,25,90,0
2024-09-19 19:43:55,0,25,90,0
2024-09-19 19:43:57,0,25,90,0
2024-09-19 19:43:59,0,25,90,0
2024-09-19 19:44:01,0,25,90,0
2024-09-19 19:44:03,0,25,90,0
2024-09-19 19:44:06,0,25,90,0
2024-09-19 19:44:08,0,25,90,0
2024-09-19 19:44:10,0,25,90,0
2024-09-19 19:44:12,0,25,90,0
2024-09-19 19:44:14,0,25,90,0
